source1,source2,source3,source4
target,target,target,target
var1542,var0178,var1024,var0819
var1160,var1454,var1073,var0777
var1650,var1818,var1074,var0756
var0334,var0206,var1075,var0769
var0335,var1452,var1076,var0849
var0336,var0208,var1020,var0738
var0337,var1871,var1069,var0853
var1158,var1819,var1080,var0749
var0343,var1457,var0631,var0743
var0330,var1444,var0938,var0734
var0344,var1441,var1086,var0775
var0349,var1437,var1087,var0780
var0353,var1823,var1089,var0778
var0354,var0223,var1079,var0801
var0357,var0224,var1028,var0878
var0359,var0215,var1053,var0724
var0328,var1425,var0640,var0766
var0327,var1489,var0953,var0877
var1711,var1351,var0960,var0886
var1172,var1483,var1060,var0827
var0294,var0184,var0572,var0872
var0295,var0191,var0971,var0750
var0296,var1816,var0964,var0794
var0298,var1473,var1013,var0762
var0301,var1817,var0602,var0798
var0303,var1874,var0688,var0771
var0304,var1826,var1116,var0884
var1168,var0231,var1119,var0824
var0314,var1376,var1120,var0826
var0317,var1375,var0987,var0848
var0318,var1844,var0714,var0760
var0319,var1843,var1123,var0875
var0364,var1372,var0915,var0746
var0396,var1371,var1124,var0883
var0397,var1840,var1127,var0804
var0398,var1368,var0612,var0838
var0399,var1768,var1132,var0879
var0401,var1360,var1133,var0832
var0451,var1348,var0921,var0757
var0446,var1349,var0927,var0815
var0408,var1350,var0512,var0873
var0409,var1370,var0709,var0817
var0410,var1851,var0679,var0860
var0411,var1864,var0626,var0911
var0413,var1418,var1097,var0850
var0414,var1417,var0685,var0914
var0415,var0244,var0595,var0723
var0421,var1828,var1102,var0759
var0432,var1393,var0598,var0779
var0423,var1391,var1002,var0728
var0424,var1390,var0622,var0790
var0444,var1856,var0677,var0752
var0394,var1854,var0588,var0721
var0455,var0172,var0982,var0767
var0459,var0102,var0917,var0732
var1140,var1736,var0954,var0893
var0366,var1735,var1092,var0897
var0367,var0106,var1035,var0851
var0472,var1895,var1045,var0839
var0371,var0109,var0628,var0720
var0372,var1777,var1112,var0739
var0471,var0113,var1109,var0726
var0374,var0116,var1026,
var0470,var0117,var0651,
var0377,var0118,var0678,
var0379,var0173,var0570,
var0464,var1778,var0616,
var0381,var1722,var1090,
var0384,var1926,var0533,
var0385,var1923,var0647,
var0386,var1756,var0967,
var0388,var1918,var0592,
var0389,var1915,var0675,
var0460,var1907,var0973,
var0290,var1741,var1101,
var1655,var1906,var1110,
var0426,var1751,var1066,
var1697,var1749,var0930,
var0064,var1748,var1041,
var1218,var1769,var1081,
var1675,var1770,var1064,
var1556,var1900,var0946,
var0250,var0095,var1093,
var0252,var1752,var1135,
var0253,var1720,var1125,
var1206,var1783,var1096,
var1224,var1517,var0994,
var1259,var0124,var1104,
var1571,var1510,var0690,
var0045,var1503,var1022,
var0051,var0165,var1006,
var1576,var1809,var1091,
var1563,var0169,var0682,
var0057,var1812,var1078,
var1555,var0171,var0939,
var1701,var1879,var1128,
var0258,var1533,var0524,
var0275,var1884,var0591,
var1706,var1882,var0481,
var0276,var1881,var0680,
var1709,var0127,var0986,
var0278,var0139,var0475,
var0279,var1892,var0976,
var0283,var0142,var0940,
var0284,var1528,var0929,
var0285,var1716,var0996,
var0272,var1717,var0980,
var1552,var1525,var0990,
var0265,var1795,var0931,
var1308,var1435,var1054,
var0269,var1406,var0608,
var0260,var1366,var0474,
var0310,var0129,var0705,
var1202,var1810,var0710,
var0049,var0176,var0942,
var0331,var0085,var0937,
var1251,var0138,var0978,
var0297,var1484,var0528,
var0387,var0168,var0502,
var0271,var1894,var1072,
var1238,var0071,var1063,
var1154,var0079,,
var0313,var0082,,
var1690,var0107,,
var0358,var0115,,
var0403,var0232,,
var0447,var1322,,
var1159,var1332,,
var1569,var1336,,
var1568,var1501,,
var1618,var1505,,
var0429,var1538,,
var1193,var1719,,
var0341,var1725,,
var1648,var1726,,
var0396,var1728,,
var0426,var1731,,
var0271,var1739,,
var0430,var1837,,
var0350,var1853,,
var0376,var1855,,
var0018,var1860,,
var0404,var1888,,
var0326,var1911,,
var0042,var0209,,
var0466,var1451,,
var0449,var1872,,
var0010,,,
var0012,,,
var0028,,,
var0032,,,
var0034,,,
var0037,,,
var0041,,,
var0068,,,
var0249,,,
var0361,,,
var0434,,,
var0458,,,
var0461,,,
var0469,,,
var1136,,,
var1137,,,
var1142,,,
var1150,,,
var1151,,,
var1195,,,
var1300,,,
var1311,,,
var1541,,,
var1554,,,
var1707,,,
